"REF_DATE","GEO","DGUID","Index","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","121.8","","","","1"
"2016-02","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","120.9","","","","1"
"2016-03","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","119.0","","","","1"
"2016-04","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","118.2","","","","1"
"2016-05","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","118.5","","","","1"
"2016-06","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","117.5","","","","1"
"2016-07","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","118.2","","","","1"
"2016-08","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","118.1","","","","1"
"2016-09","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","117.9","","","","1"
"2016-10","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","118.5","","","","1"
"2016-11","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","118.9","","","","1"
"2016-12","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","117.7","","","","1"
"2017-01","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","117.3","","","","1"
"2017-02","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","117.5","","","","1"
"2017-03","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","118.3","","","","1"
"2017-04","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","117.5","","","","1"
"2017-05","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","117.6","","","","1"
"2017-06","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","115.6","","","","1"
"2017-07","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","113.4","","","","1"
"2017-08","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","113.9","","","","1"
"2017-09","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","111.5","","","","1"
"2017-10","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","112.6","","","","1"
"2017-11","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","113.7","","","","1"
"2017-12","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","114.0","","","","1"
"2018-01","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","112.9","","","","1"
"2018-02","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","113.0","","","","1"
"2018-03","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","114.2","","","","1"
"2018-04","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","113.3","","","","1"
"2018-05","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","114.0","","","","1"
"2018-06","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","115.5","","","","1"
"2018-07","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","115.6","","","","1"
"2018-08","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","115.0","","","","1"
"2018-09","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","115.0","","","","1"
"2018-10","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","115.2","","","","1"
"2018-11","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","115.8","","","","1"
"2018-12","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","116.7","","","","1"


