"REF_DATE","GEO","DGUID","Type of computer","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","100.2","","","","1"
"2016-02","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","100.6","","","","1"
"2016-03","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","99.3","","","","1"
"2016-04","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","100.1","","","","1"
"2016-05","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","100.1","","","","1"
"2016-06","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","99.8","","","","1"
"2016-07","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","99.6","","","","1"
"2016-08","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","98.8","","","","1"
"2016-09","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","98.5","","","","1"
"2016-10","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","99.2","","","","1"
"2016-11","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","99.1","","","","1"
"2016-12","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","98.3","","","","1"
"2017-01","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","98.2","","","","1"
"2017-02","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","97.9","","","","1"
"2017-03","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","97.8","","","","1"
"2017-04","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.9","","","","1"
"2017-05","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.8","","","","1"
"2017-06","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.4","","","","1"
"2017-07","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.5","","","","1"
"2017-08","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.0","","","","1"
"2017-09","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","95.8","","","","1"
"2017-10","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.0","","","","1"
"2017-11","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","95.2","","","","1"
"2017-12","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","94.9","","","","1"
"2018-01","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","94.5","","","","1"
"2018-02","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","94.0","","","","1"
"2018-03","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","93.8","","","","1"
