"REF_DATE","GEO","DGUID","Commodity","Destinations","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1059666","","","","0"
"2016-02","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1273423","","","","0"
"2016-03","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1306096","","","","0"
"2016-04","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1496441","","","","0"
"2016-05","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1419982","","","","0"
"2016-06","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1347753","","","","0"
"2016-07","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1376641","","","","0"
"2016-08","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1299233","","","","0"
"2016-09","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1127465","","","","0"
"2016-10","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1434206","","","","0"
"2016-11","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1338563","","","","0"
"2016-12","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","890286","","","","0"
"2017-01","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1004848","","","","0"
"2017-02","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","939046","","","","0"
"2017-03","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1316813","","","","0"
"2017-04","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1372506","","","","0"
"2017-05","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1680576","","","","0"
"2017-06","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1451637","","","","0"
"2017-07","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1466059","","","","0"
"2017-08","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1584488","","","","0"
"2017-09","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1325509","","","","0"
"2017-10","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1365946","","","","0"
"2017-11","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1502820","","","","0"
"2017-12","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1231941","","","","0"
"2018-01","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1740930","","","","0"
"2018-02","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","941688","","","","0"
"2018-03","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1563293","","","","0"
"2018-04","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1518089","","","","0"
"2018-05","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1884929","","","","0"
"2018-06","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1284906","","","","0"
"2018-07","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1245051","","","","0"
"2018-08","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1579033","","","","0"
"2018-09","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1681529","","","","0"
"2018-10","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1723178","","","","0"
"2018-11","Canada","2016A000011124","Wheat, excluding durum","Total exports, all destinations","Tonnes","288","units ","0","v124689","1.1.1","1756611","","","","0"
