"REF_DATE","GEO","DGUID","Commodity groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","134.3","","","","1"
"2016-02","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","134.9","","","","1"
"2016-03","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","135.6","","","","1"
"2016-04","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","133.7","","","","1"
"2016-05","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","136.4","","","","1"
"2016-06","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","137.1","","","","1"
"2016-07","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","133.0","","","","1"
"2016-08","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","127.8","","","","1"
"2016-09","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","124.7","","","","1"
"2016-10","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","124.5","","","","1"
"2016-11","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","125.1","","","","1"
"2016-12","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","128.8","","","","1"
"2017-01","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","129.5","","","","1"
"2017-02","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","130.8","","","","1"
"2017-03","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","132.7","","","","1"
"2017-04","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","132.2","","","","1"
"2017-05","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","135.2","","","","1"
"2017-06","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","136.2","","","","1"
"2017-07","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","136.2","","","","1"
"2017-08","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","132.8","","","","1"
"2017-09","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","128.6","","","","1"
"2017-10","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","128.5","","","","1"
"2017-11","Canada","2016A000011124","Total index","Index, 2007=100","181","units ","0","v66449852","1.1","130.2","","","","1"
