"REF_DATE","GEO","DGUID","North American Product Classification System (NAPCS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5433.1","","","","1"
"2016-02","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5521.6","","","","1"
"2016-03","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5837.8","","","","1"
"2016-04","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5775.5","","","","1"
"2016-05","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5727.3","","","","1"
"2016-06","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5659.0","","","","1"
"2016-07","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5112.6","","","","1"
"2016-08","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5588.3","","","","1"
"2016-09","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5731.0","","","","1"
"2016-10","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5707.7","","","","1"
"2016-11","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5819.7","","","","1"
"2016-12","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","4718.9","","","","1"
"2017-01","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5526.3","","","","1"
"2017-02","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","5329.2","","","","1"
"2017-03","Canada","2016A000011124","Total softwood and hardwood, production","Cubic metres","72","thousands","3","v1061807915","1.1","6062.6","","","","1"
