"REF_DATE","GEO","DGUID","Commodity","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","20923","","","","0"
"2016-02","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","24112","","","","0"
"2016-03","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","23785","","","","0"
"2016-04","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","26052","","","","0"
"2016-05","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","27751","","","","0"
"2016-06","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","27923","","","","0"
"2016-07","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","28901","","","","0"
"2016-08","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","25902","","","","0"
"2016-09","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","23059","","","","0"
"2016-10","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","23140","","","","0"
"2016-11","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","25511","","","","0"
"2016-12","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","24383","","","","0"
"2017-01","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","24190","","","","0"
"2017-02","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","25196","","","","0"
"2017-03","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","32096","","","","0"
"2017-04","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","36441","","","","0"
"2017-05","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","38676","","","","0"
"2017-06","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","38519","","","","0"
"2017-07","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","39128","","","","0"
"2017-08","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","37050","","","","0"
"2017-09","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","36575","","","","0"
"2017-10","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","34193","","","","0"
"2017-11","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","33978","","","","0"
"2017-12","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","33122","","","","0"
"2018-01","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","35090","","","","0"
"2018-02","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","40655","","","","0"
"2018-03","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","42979","","","","0"
"2018-04","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","49028","","","","0"
"2018-05","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","50314","","","","0"
"2018-06","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","54592","","","","0"
"2018-07","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","53443","","","","0"
"2018-08","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","49253","","","","0"
"2018-09","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","42680","","","","0"
"2018-10","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","46197","","","","0"
"2018-11","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","46541","","","","0"
"2018-12","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","43477","","","","0"
"2019-01","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","45873","","","","0"
"2019-02","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","49194","","","","0"
"2019-03","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","51885","","","","0"
"2019-04","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units ","0","v381842","1.1.1","54488","","","","0"
"2016-01","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","9651","","","","0"
"2016-02","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","13412","","","","0"
"2016-03","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","13924","","","","0"
"2016-04","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","15480","","","","0"
"2016-05","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","18431","","","","0"
"2016-06","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","19496","","","","0"
"2016-07","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","20360","","","","0"
"2016-08","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","18802","","","","0"
"2016-09","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","15295","","","","0"
"2016-10","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","13058","","","","0"
"2016-11","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","14627","","","","0"
"2016-12","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","13239","","","","0"
"2017-01","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","11571","","","","0"
